,term,cosine_sim_with_core, closest_terms_from_core
0,accountability,0.18168986,"[('accountability', 1.0), ('legitimacy', 0.40522751212120056), ('reliability', 0.3317139148712158)]"
1,carrying_capacity,0.30877978,"[('carrying_capacity', 1.000000238418579), ('niche', 0.5168653726577759), ('density', 0.4780316650867462)]"
2,chance_survival,0.20108783,"[('chance_survival', 1.0), ('survival', 0.3848637342453003), ('failure_rate', 0.25754401087760925)]"
3,competition,0.32139876,"[('competition', 1.000000238418579), ('evolution', 0.4771859645843506), ('niche', 0.4550776183605194)]"
4,death_rate,0.21531121,"[('death_rate', 1.0000001192092896), ('population', 0.4277932345867157), ('density', 0.33747637271881104)]"
5,density,0.31886232,"[('density', 0.9999998807907104), ('failure_rate', 0.5560634136199951), ('population', 0.48758047819137573)]"
6,ecological,0.29636,"[('ecological', 0.9999998807907104), ('ecology', 0.6858106851577759), ('carrying_capacity', 0.43915051221847534)]"
7,ecology,0.28611857,"[('ecology', 1.0), ('ecological', 0.6858106851577759), ('evolution', 0.4856095016002655)]"
8,evolution,0.36335582,"[('evolution', 0.9999998807907104), ('evolutionary', 0.7379711866378784), ('natural_selection', 0.5138029456138611)]"
9,evolutionary,0.31862363,"[('evolutionary', 1.0000001192092896), ('evolution', 0.7379711866378784), ('natural_selection', 0.6906414031982422)]"
10,failure_rate,0.30482224,"[('failure_rate', 0.9999998807907104), ('density', 0.5560634136199951), ('structural_inertia', 0.4429274797439575)]"
11,fitness,0.24858718,"[('fitness', 1.0), ('evolutionary', 0.44982632994651794), ('natural_selection', 0.4282344579696655)]"
12,generalist,0.29075727,"[('generalist', 1.0000001192092896), ('specialist', 0.6545769572257996), ('niche', 0.49918973445892334)]"
13,inertia,0.32801014,"[('inertia', 1.0), ('inertial', 0.6259135007858276), ('structural_inertia', 0.6157774925231934)]"
14,inertial,0.25453988,"[('inertial', 1.000000238418579), ('inertia', 0.6259135007858276), ('structural_inertia', 0.5043458938598633)]"
15,legitimacy,0.28063744,"[('legitimacy', 1.0), ('legitimate', 0.5918924808502197), ('organizational_form', 0.43609464168548584)]"
16,legitimate,0.17716318,"[('legitimate', 0.9999998807907104), ('legitimacy', 0.5918924808502197), ('organizational_form', 0.34150487184524536)]"
17,natural_selection,0.2885721,"[('natural_selection', 1.0000001192092896), ('evolutionary', 0.6906414031982422), ('evolution', 0.5138029456138611)]"
18,niche,0.3232902,"[('niche', 0.9999998807907104), ('carrying_capacity', 0.5168653726577759), ('generalist', 0.49918973445892334)]"
19,organizational_form,0.3403311,"[('organizational_form', 1.0), ('evolution', 0.4632829427719116), ('structural_inertia', 0.4537796378135681)]"
20,population,0.29790866,"[('population', 0.9999999403953552), ('populations', 0.6956421136856079), ('density', 0.48758047819137573)]"
21,populations,0.2822126,"[('populations', 0.9999998807907104), ('population', 0.6956421136856079), ('density', 0.40320566296577454)]"
22,reliability,0.19627307,"[('reliability', 1.0000001192092896), ('accountability', 0.3317139148712158), ('selection', 0.3075908422470093)]"
23,resistance_change,0.22291432,"[('resistance_change', 0.9999998211860657), ('inertia', 0.5601037740707397), ('structural_inertia', 0.436300665140152)]"
24,selection,0.27522138,"[('selection', 1.0), ('natural_selection', 0.4270097017288208), ('evolution', 0.4240756630897522)]"
25,specialism,0.23859945,"[('specialism', 1.0000001192092896), ('generalist', 0.3901035487651825), ('niche', 0.36456847190856934)]"
26,specialist,0.2666943,"[('specialist', 1.0000001192092896), ('generalist', 0.6545769572257996), ('niche', 0.4173741340637207)]"
27,structural_inertia,0.339454,"[('structural_inertia', 1.0), ('inertia', 0.6157774925231934), ('inertial', 0.5043458938598633)]"
28,survival,0.31916225,"[('survival', 1.0), ('evolution', 0.3985558748245239), ('failure_rate', 0.39460086822509766)]"
0,accountability,0.18168986,"[('accountability', 1.0), ('legitimacy', 0.40522751212120056), ('reliability', 0.3317139148712158)]"
1,adaptation,0.30955678,"[('evolution', 0.5364757180213928), ('evolutionary', 0.48548203706741333), ('structural_inertia', 0.45845216512680054)]"
2,adaptive,0.2967796,"[('evolutionary', 0.5639064311981201), ('evolution', 0.512691080570221), ('natural_selection', 0.43670421838760376)]"
3,carrying_capacity,0.30877978,"[('carrying_capacity', 1.000000238418579), ('niche', 0.5168653726577759), ('density', 0.4780316650867462)]"
4,competitive_intensity,0.34146172,"[('competition', 0.5946173071861267), ('inertia', 0.4984615445137024), ('density', 0.4732595980167389)]"
5,competitive_pressure,0.26253927,"[('competition', 0.55347740650177), ('niche', 0.42006629705429077), ('inertia', 0.41487836837768555)]"
